duration,wage-increase-first-year,wage-increase-second-year,wage-increase-third-year,cost-of-living-adjustment=none,cost-of-living-adjustment=tc,cost-of-living-adjustment=tcf,working-hours,pension=empl_contr,pension=ret_allw,pension=none,standby-pay,shift-differential,education-allowance,statutory-holidays,vacation=average,vacation=below_average,vacation=generous,longterm-disability-assistance,contribution-to-dental-plan=half,contribution-to-dental-plan=full,contribution-to-dental-plan=none,bereavement-assistance,contribution-to-health-plan=full,contribution-to-health-plan=half,contribution-to-health-plan=none,class
3,2,2,2,1,0,0,40,0,0,1,7.444444,4.870968,0,10,0,1,0,1,1,0,0,1,1,0,0,bad
2,4.5,4.5,3.913333,0,0,1,38.039216,1,0,0,7.444444,4.870968,1,10,0,1,0,1,0,0,1,1,0,1,0,good
2,3,3,3.913333,1,0,0,33,1,0,0,7.444444,4.870968,1,12,0,0,1,1,1,0,0,1,1,0,0,good
2,5,4,3.913333,1,0,0,37,1,0,0,7.444444,5,0,11,0,1,0,1,0,1,0,1,1,0,0,good
3,2,2.5,3.913333,1,0,0,35,0,0,1,7.444444,4.870968,0,10,1,0,0,1,1,0,0,1,1,0,0,bad
3,4.5,4.5,5,1,0,0,40,1,0,0,7.444444,4.870968,0,11,1,0,0,1,1,0,0,1,1,0,0,good
3,3,2,2.5,0,1,0,40,0,0,1,7.444444,5,0,10,0,1,0,1,1,0,0,1,1,0,0,bad
2,2.5,2.5,3.913333,1,0,0,38,1,0,0,7.444444,4.870968,0,10,1,0,0,1,1,0,0,1,1,0,0,bad
2,4,5,3.913333,1,0,0,40,0,0,1,7.444444,3,0,10,0,1,0,0,0,0,1,1,0,0,1,bad
3,2,2.5,2.1,0,1,0,40,0,0,1,2,1,0,10,0,1,0,0,1,0,0,1,1,0,0,bad
2,2,2,3.913333,1,0,0,40,0,0,1,7.444444,4.870968,0,11,1,0,0,1,0,0,1,1,1,0,0,bad
1,2,3.971739,3.913333,0,1,0,40,0,1,0,4,0,0,11,0,0,1,0,0,0,1,0,0,0,1,bad
1,2.8,3.971739,3.913333,1,0,0,38,1,0,0,2,3,0,9,0,1,0,1,1,0,0,1,0,0,1,bad
3,2,2.5,2,1,0,0,37,1,0,0,7.444444,4.870968,0,10,1,0,0,1,1,0,0,1,0,0,1,bad
2,4.5,4,3.913333,1,0,0,40,1,0,0,7.444444,4,0,12,1,0,0,1,0,1,0,1,0,1,0,good
1,4,3.971739,3.913333,1,0,0,38.039216,0,0,1,7.444444,4.870968,1,11,1,0,0,0,0,0,1,0,0,0,1,bad
2,2,3,3.913333,1,0,0,38,1,0,0,7.444444,4.870968,1,12,0,0,1,1,0,0,1,1,1,0,0,bad
2,2.5,2.5,3.913333,0,1,0,39,1,0,0,7.444444,4.870968,0,12,1,0,0,1,1,0,0,1,1,0,0,bad
2,2.5,3,3.913333,0,0,1,40,0,0,1,7.444444,4.870968,0,11,0,1,0,1,1,0,0,1,1,0,0,bad
2,4,4,3.913333,1,0,0,40,0,0,1,7.444444,3,0,10,0,1,0,0,0,0,1,1,0,0,1,bad
2,4.5,4,3.913333,1,0,0,40,1,0,0,7.444444,2,0,10,0,1,0,0,1,0,0,1,0,1,0,bad
2,4.5,4,3.913333,1,0,0,40,1,0,0,7.444444,5,0,11,1,0,0,1,0,1,0,1,1,0,0,good
2,4.6,4.6,3.913333,0,0,1,38,1,0,0,7.444444,4.870968,0,11.09434,0,1,0,1,1,0,0,1,0,1,0,good
2,5,4.5,3.913333,1,0,0,38,1,0,0,14,5,0,11,0,1,0,1,1,0,0,1,1,0,0,good
2,5.7,4.5,3.913333,1,0,0,40,0,1,0,7.444444,4.870968,0,11,1,0,0,1,0,1,0,1,1,0,0,good
2,7,5.3,3.913333,1,0,0,38.039216,1,0,0,7.444444,4.870968,0,11,0,1,0,1,0,1,0,1,1,0,0,good
3,2,3,3.913333,0,0,1,38.039216,1,0,0,7.444444,4.870968,1,11.09434,0,1,0,1,1,0,0,1,1,0,0,good
3,3.5,4,4.5,0,0,1,35,1,0,0,7.444444,4.870968,0,13,0,0,1,1,1,0,0,1,1,0,0,good
3,4,3.5,3.913333,1,0,0,40,1,0,0,7.444444,6,0,11,1,0,0,1,0,1,0,1,1,0,0,good
3,5,4.4,3.913333,1,0,0,38,1,0,0,10,6,0,11,0,0,1,1,1,0,0,1,1,0,0,good
3,5,5,5,1,0,0,40,1,0,0,7.444444,4.870968,0,12,1,0,0,1,1,0,0,1,0,1,0,good
3,6,6,4,1,0,0,35,1,0,0,7.444444,14,0,9,0,0,1,1,0,1,0,1,1,0,0,good
